Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
CPU,,Intel,Core i5-3340,242,59.6,2559,https://cpu.userbenchmark.com/SpeedTest/2710/IntelR-CoreTM-i5-3340-CPU---310GHz
CPU,,Intel,Core i7-4850HQ,243,59.5,420,https://cpu.userbenchmark.com/SpeedTest/7877/IntelR-CoreTM-i7-4850HQ-CPU---230GHz
CPU,BX80623I52400,Intel,Core i5-2400,244,59.5,48044,https://cpu.userbenchmark.com/Intel-Core-i5-2400/Rating/803
CPU,FD9590FHHKWOF,AMD,FX-9590,245,59.5,14625,https://cpu.userbenchmark.com/AMD-FX-9590/Rating/1812
CPU,,Intel,Core i7-4720HQ,246,59.4,38106,https://cpu.userbenchmark.com/SpeedTest/20045/IntelR-CoreTM-i7-4720HQ-CPU---260GHz
CPU,BX80646I34370,Intel,Core i3-4370,247,59.3,856,https://cpu.userbenchmark.com/Intel-Core-i3-4370/Rating/2817
CPU,BX80662I36100,Intel,Core i3-6100,248,59.2,44183,https://cpu.userbenchmark.com/Intel-Core-i3-6100/Rating/3511
CPU,,Intel,Core i7-4710MQ,249,59.1,10306,https://cpu.userbenchmark.com/SpeedTest/9397/IntelR-CoreTM-i7-4710MQ-CPU---250GHz
CPU,,Intel,Core i7-3740QM,250,59.1,6339,https://cpu.userbenchmark.com/SpeedTest/2919/IntelR-CoreTM-i7-3740QM-CPU---270GHz
CPU,,Intel,Core i7-3820QM,251,59,1164,https://cpu.userbenchmark.com/SpeedTest/4339/IntelR-CoreTM-i7-3820QM-CPU---270GHz
